a,b,delta,t_naive,p_naive,t_nb,p_nb,sig_naive,sig_nb
LR,SVM-L,0.005103570264860615,0.46678824548448183,0.6441393640060669,0.22423781990203767,0.8241446275759768,False,False
LR,SVM-R,0.070391239584788,2.03513246746772,0.051068303103152766,0.9776460142931929,0.33633505039019307,False,False
LR,SVM-P,0.22480247947989893,5.391234631885739,8.554178346939516e-06,2.5898653450017357,0.014864260406625841,True,True
LR,RF,-0.04894777265745007,-5.035211968888103,2.3001044421357914e-05,-2.4188375897859893,0.02207418276935474,True,True
LR,MLP-s,-0.03360812425328555,-3.148593444317958,0.0037827154328204625,-1.512535365964305,0.14122015393136755,True,False
LR,MLP-f,-0.03374024422411518,-3.180631904882576,0.003486569895121659,-1.5279261445872132,0.13736574457337786,True,False
SVM-L,SVM-R,0.0652876693199274,1.9657680650639078,0.058965386436099956,0.9443244332030459,0.3528055954856414,False,False
SVM-L,SVM-P,0.2196989092150383,5.550127444413256,5.506646467652019e-06,2.666194983170523,0.01241118931315018,True,True
SVM-L,RF,-0.05405134292231068,-4.699101764487276,5.8505693877935954e-05,-2.2573754702687245,0.03168818896126253,True,True
SVM-L,MLP-s,-0.03871169451814616,-3.6596072089849128,0.000999462140054711,-1.7580184380796253,0.08929622560177204,True,False
SVM-L,MLP-f,-0.03884381448897581,-3.45084473172304,0.0017342326172983336,-1.6577321878764648,0.10815177968949993,True,False
SVM-R,SVM-P,0.15441123989511088,9.642661492231316,1.4969714674218018e-10,4.632184747555222,7.042998009253187e-05,True,True
SVM-R,RF,-0.11933901224223807,-3.941847176898526,0.000468393609162842,-1.8936021330556674,0.06829350865074443,True,False
SVM-R,MLP-s,-0.10399936383807357,-3.154033383523435,0.0037307914606786023,-1.5151486282296598,0.1405595989404267,True,False
SVM-R,MLP-f,-0.10413148380890318,-3.1605755981062433,0.003669248468123114,-1.5182914064584854,0.13976851191377693,True,False
SVM-P,RF,-0.27375025213734894,-7.29473452902591,4.923070605931319e-08,-3.504277117893422,0.0015074013380825023,True,True
SVM-P,MLP-s,-0.2584106037331845,-6.469045214213561,4.436570569129861e-07,-3.1076288011009563,0.004196497732518655,True,True
SVM-P,MLP-f,-0.25854272370401404,-6.555088370572597,3.51658079936226e-07,-3.1489625964269607,0.003779170159902145,True,True
RF,MLP-s,0.015339648404164512,1.4077755986683602,0.16982717009250262,0.6762735227598475,0.5042253002391741,False,False
RF,MLP-f,0.015207528433334876,1.424960399143406,0.16484280224026787,0.6845288338805811,0.49907589370853883,False,False
MLP-s,MLP-f,-0.00013211997082963425,-0.036540119754495885,0.9711020599839647,-0.01755330574831266,0.9861154205113323,False,False
